dip,Género,Provincia,Ciudad,Colegio,Administración del Colegio,Edad,Provincia_LE,Ciudad_LE,Género_FEMENINO,Género_MASCULINO,Género_NO RESPONDE,Administración del Colegio_CEMA,Administración del Colegio_CONVENIO,Administración del Colegio_FISCAL,Administración del Colegio_OTRO,Administración del Colegio_PRIVADA,Edad_std
3461821,MASCULINO,MURILLO,LA PAZ,ELISA DE BALLIVIAN,FISCAL,36,32,44,0,1,0,0,0,1,0,0,0.07542729151836416
3469999,MASCULINO,MURILLO,LA PAZ,CEFI,PRIVADA,36,32,44,0,1,0,0,0,0,0,1,0.07542729151836416
3470328,MASCULINO,MURILLO,LA PAZ,COLEGIO PARTICULAR PUERTO DE MEJILLONES,PRIVADA,40,32,44,0,1,0,0,0,0,0,1,0.6234127695695142
3478886,MASCULINO,MURILLO,LA PAZ,COLEGIO INTERNACIONAL DEL SUR,PRIVADA,44,32,44,0,1,0,0,0,0,0,1,1.1713982476206644
3487187,MASCULINO,MURILLO,LA PAZ,COLORADOS DE BOLIVIA,FISCAL,52,32,44,0,1,0,0,0,1,0,0,2.2673692037229642
3487672,MASCULINO,MURILLO,LA PAZ,PANTALEON DALENCE,PRIVADA,44,32,44,0,1,0,0,0,0,0,1,1.1713982476206644
3489994,MASCULINO,MURILLO,LA PAZ,INSTITUTO DOMINGO SAVIO,PRIVADA,35,32,44,0,1,0,0,0,0,0,1,-0.06156907799442335
3491929,MASCULINO,MURILLO,LA PAZ,SAN SIMON DE AYACUCHO,FISCAL,47,32,44,0,1,0,0,0,1,0,0,1.582387356159027
3492883,FEMENINO,FRANZ TAMAYO,APOLO,INSTITUTO BANCARIO,PRIVADA,45,17,6,1,0,0,0,0,0,0,1,1.3083946171334517
3551980,MASCULINO,OTRO,ORURO,INSTITUTO AMERICANO,CONVENIO,31,38,50,0,1,0,0,1,0,0,0,-0.6095545560455734
3979104,MASCULINO,TOMAS FRIAS,POTOSI,DESCONOCIDO,PRIVADA,35,48,54,0,1,0,0,0,0,0,1,-0.06156907799442335
3999799,MASCULINO,SUD CHICHAS,TUPIZA,COLEGIO ACIONAL MIXTO SUIPACHA,FISCAL,35,46,76,0,1,0,0,0,1,0,0,-0.06156907799442335
4013771,MASCULINO,SUD CHICAS,TUPIZA,NACIONAL MIXTO SUIPACHA,FISCAL,46,45,76,0,1,0,0,0,1,0,0,1.4453909866462393
4032727,FEMENINO,OTRO,ORURO,JUANA AZURDUY DE PADILLA,FISCAL,43,38,50,1,0,0,0,0,1,0,0,1.0344018781078768
4033708,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52,32,44,0,0,1,0,0,1,0,0,2.2673692037229642
4034015,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,29,32,44,1,0,0,0,0,0,0,1,-0.8835472950711485
4037341,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,34,32,44,1,0,0,0,0,0,0,1,-0.19856544750721086
4041686,MASCULINO,QUIJARRO,KILPANI,MONS SEAAOR RICARDO BENI MORO,FISCAL,44,41,41,0,1,0,0,0,1,0,0,1.1713982476206644
4047787,MASCULINO,AROMA,LA PAZ,REEKIE,PRIVADA,31,6,44,0,1,0,0,0,0,0,1,-0.6095545560455734
4049388,FEMENINO,PANTALEON DALENCE,ORURO,MIXTO BOLIVIA,FISCAL,32,40,50,1,0,0,0,0,1,0,0,-0.4725581865327859
4055780,FEMENINO,OTRO,ORURO,AVE MARIA,PRIVADA,33,38,50,1,0,0,0,0,0,0,1,-0.3355618170199984
4063287,FEMENINO,OTRO,ORURO,VIRGEN DE COPACABANA,PRIVADA,28,38,50,1,0,0,0,0,0,0,1,-1.0205436645839359
4070295,MASCULINO,SAJAMA,CANTON COSAPA,"PEDRO DOMINGO MURILLO ""A""",FISCAL,34,44,11,0,1,0,0,0,1,0,0,-0.19856544750721086
4110555,FEMENINO,OROPEZA,CHUQUISACA,LA SALLE,PRIVADA,32,36,22,1,0,0,0,0,0,0,1,-0.4725581865327859
4114928,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,30,32,44,1,0,0,0,0,0,0,1,-0.7465509255583609
4148950,MASCULINO,OTRO,TARIJA,SAN GERONIMO,CEMA,36,38,73,0,1,0,1,0,0,0,0,0.07542729151836416
4186949,MASCULINO,MURILLO,LA PAZ,ROBERTO FRANSEN,PRIVADA,29,32,44,0,1,0,0,0,0,0,1,-0.8835472950711485
4197244,MASCULINO,OTRO,OTRO,CIRO M. APARICIO,FISCAL,37,38,51,0,1,0,0,0,1,0,0,0.21242366103115168
4201314,MASCULINO,MURILLO,EL ALTO,COL. NAL. MIXTO PUERTO DE MEJILLONES,FISCAL,40,32,32,0,1,0,0,0,1,0,0,0.6234127695695142
4219575,MASCULINO,MURILLO,LA PAZ,DEL SUR,PRIVADA,32,32,44,0,1,0,0,0,0,0,1,-0.4725581865327859
4243837,MASCULINO,TOMAS FRIAS,POTOSI,BOLIVIAN CATHOLIC,PRIVADA,52,48,54,0,1,0,0,0,0,0,1,2.2673692037229642
4246438,MASCULINO,MURILLO,EL ALTO,TEC. HUM. MARISCAL JOSE BALLIVIAN,FISCAL,52,32,32,0,1,0,0,0,1,0,0,2.2673692037229642
4249491,MASCULINO,MURILLO,LA PAZ,PUERTO DE MEJILLONES,FISCAL,39,32,44,0,1,0,0,0,1,0,0,0.4864164000567267
4252655,MASCULINO,LOS ANDES,LA PAZ,DESCONOCIDO,FISCAL,52,28,44,0,1,0,0,0,1,0,0,2.2673692037229642
4255313,MASCULINO,MURILLO,EL ALTO,ROTARY CHUQUIAGO MARKA,FISCAL,33,32,32,0,1,0,0,0,1,0,0,-0.3355618170199984
4256326,MASCULINO,PACAJES,LA PAZ,CENTRO INTEGRALL SUPERIOR BOLIVINO ALEMAN,PRIVADA,27,39,44,0,1,0,0,0,0,0,1,-1.1575400340967235
4262374,MASCULINO,MURILLO,LA PAZ,FELIPE SEGUNDO GUZMAN,FISCAL,36,32,44,0,1,0,0,0,1,0,0,0.07542729151836416
4262698,MASCULINO,MURILLO,LA PAZ,LORETTO,PRIVADA,37,32,44,0,1,0,0,0,0,0,1,0.21242366103115168
4266808,MASCULINO,MURILLO,LA PAZ,UNIDAD EDUCATIVA REPUBLICA DE FRANCIA,FISCAL,39,32,44,0,1,0,0,0,1,0,0,0.4864164000567267
4269638,MASCULINO,MURILLO,LA PAZ,DON BOSCO,PRIVADA,35,32,44,0,1,0,0,0,0,0,1,-0.06156907799442335
4272663,MASCULINO,MURILLO,LA PAZ,DOMINGO FAUSTINO SARMIENTO,FISCAL,37,32,44,0,1,0,0,0,1,0,0,0.21242366103115168
4273105,MASCULINO,MURILLO,LA PAZ,AMOR DE DIOS,PRIVADA,44,32,44,0,1,0,0,0,0,0,1,1.1713982476206644
4276965,FEMENINO,MURILLO,LA PAZ,JOSE LUIS SUAREZ GUZMAN,FISCAL,40,32,44,1,0,0,0,0,1,0,0,0.6234127695695142
4278095,MASCULINO,MURILLO,LA PAZ,VIDA NUEVA,CONVENIO,36,32,44,0,1,0,0,1,0,0,0,0.07542729151836416
4278207,MASCULINO,MURILLO,LA PAZ,BOLIVIANO NORUEGO,PRIVADA,41,32,44,0,1,0,0,0,0,0,1,0.7604091390823018
4278646,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,36,32,44,1,0,0,0,0,1,0,0,0.07542729151836416
4279717,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,36,32,44,0,1,0,0,0,0,0,1,0.07542729151836416
4279981,FEMENINO,MURILLO,LA PAZ,IRENE NAVA DE CASTILLO,FISCAL,52,32,44,1,0,0,0,0,1,0,0,2.2673692037229642
4280693,MASCULINO,MURILLO,LA PAZ,INSTITUTO MADERO,PRIVADA,39,32,44,0,1,0,0,0,0,0,1,0.4864164000567267
4282152,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16,32,44,0,0,1,0,0,1,0,0,-2.664500098737386
4287572,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,35,32,44,1,0,0,0,0,0,0,1,-0.06156907799442335
4288844,MASCULINO,ANDRES IBAAAEZ,SANTA CRUZ,COL- EVANGALICO ISAAC,PRIVADA,36,1,68,0,1,0,0,0,0,0,1,0.07542729151836416
4294109,MASCULINO,MURILLO,LA PAZ,FELIPE SEGUNDO GUZMAN,FISCAL,50,32,44,0,1,0,0,0,1,0,0,1.9933764646973895
4295732,FEMENINO,MURILLO,LA PAZ,CRISTO REY,PRIVADA,34,32,44,1,0,0,0,0,0,0,1,-0.19856544750721086
4296033,MASCULINO,MURILLO,LA PAZ,HERNANDO SILES REYES,FISCAL,48,32,44,0,1,0,0,0,1,0,0,1.7193837256718143
4297477,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,34,32,44,0,1,0,0,0,0,0,1,-0.19856544750721086
4297750,MASCULINO,GERMAN BUSCH,PUERTO SUAREZ,DESCONOCIDO,FISCAL,36,19,57,0,1,0,0,0,1,0,0,0.07542729151836416
4299485,FEMENINO,MURILLO,LA PAZ,BOLIVIANO JAPONES,PRIVADA,34,32,44,1,0,0,0,0,0,0,1,-0.19856544750721086
4300360,MASCULINO,MURILLO,LA PAZ,SAN JOSE,PRIVADA,34,32,44,0,1,0,0,0,0,0,1,-0.19856544750721086
4303043,MASCULINO,MURILLO,LA PAZ,CENTRO PEDAGOGICO AMAUTA,PRIVADA,36,32,44,0,1,0,0,0,0,0,1,0.07542729151836416
4303372,NO RESPONDE,MURILLO,LA PAZ,GERMAN BUSCH,FISCAL,16,32,44,0,0,1,0,0,1,0,0,-2.664500098737386
4304410,MASCULINO,MURILLO,LA PAZ,SAN ANDRES,CONVENIO,37,32,44,0,1,0,0,1,0,0,0,0.21242366103115168
4304918,MASCULINO,MURILLO,LA PAZ,DON BOSCO,PRIVADA,38,32,44,0,1,0,0,0,0,0,1,0.3494200305439392
4309342,MASCULINO,MURILLO,LA PAZ,CEA FELIX EGUINO ZEBALLOS,FISCAL,35,32,44,0,1,0,0,0,1,0,0,-0.06156907799442335
4309394,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,37,32,44,0,1,0,0,0,0,0,1,0.21242366103115168
4310222,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52,32,44,1,0,0,0,0,1,0,0,2.2673692037229642
4310464,MASCULINO,MURILLO,LA PAZ,SIMON RODRIGUEZ CARREAAO,FISCAL,36,32,44,0,1,0,0,0,1,0,0,0.07542729151836416
4310478,MASCULINO,MURILLO,LA PAZ,NOJUAN CRISOFTOMO LA LINUR,FISCAL,34,32,44,0,1,0,0,0,1,0,0,-0.19856544750721086
4310632,NO RESPONDE,MURILLO,LA PAZ,COLEGIO MAYOR DE SAN GENARO,PRIVADA,34,32,44,0,0,1,0,0,0,0,1,-0.19856544750721086
4311398,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,34,32,44,0,1,0,0,0,0,0,1,-0.19856544750721086
4311411,MASCULINO,MURILLO,LA PAZ,COLEGIO CRISTIANO,CONVENIO,35,32,44,0,1,0,0,1,0,0,0,-0.06156907799442335
4311580,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52,32,44,0,1,0,0,0,1,0,0,2.2673692037229642
4312650,MASCULINO,MURILLO,LA PAZ,BOLIVIA CUATRO,FISCAL,34,32,44,0,1,0,0,0,1,0,0,-0.19856544750721086
4313090,MASCULINO,MURILLO,LA PAZ,C.E.A. SAGRADOS CORAZONES,CEMA,48,32,44,0,1,0,1,0,0,0,0,1.7193837256718143
4313329,NO RESPONDE,OTRO,OTRO,AVE MARIA,PRIVADA,36,38,51,0,0,1,0,0,0,0,1,0.07542729151836416
4314234,MASCULINO,MURILLO,LA PAZ,BOLIVIANO HONADES,PRIVADA,34,32,44,0,1,0,0,0,0,0,1,-0.19856544750721086
4314235,FEMENINO,MURILLO,LA PAZ,MARIA IMACULADA,CONVENIO,33,32,44,1,0,0,0,1,0,0,0,-0.3355618170199984
4317086,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,42,32,44,0,1,0,0,0,1,0,0,0.8974055085950893
4317187,MASCULINO,MURILLO,LA PAZ,AMERINST,PRIVADA,33,32,44,0,1,0,0,0,0,0,1,-0.3355618170199984
4317589,MASCULINO,MURILLO,LA PAZ,COL. NAL. MIXTO ANDRES BELLO,FISCAL,35,32,44,0,1,0,0,0,1,0,0,-0.06156907799442335
4317709,FEMENINO,OMASUYOS,LA PAZ,SAN JOSE FE Y ALEGRIA,FISCAL,52,35,44,1,0,0,0,0,1,0,0,2.2673692037229642
4319238,MASCULINO,MURILLO,EL ALTO,COLEGIO ADVENTISTA FRANZ TAMAYO,PRIVADA,34,32,32,0,1,0,0,0,0,0,1,-0.19856544750721086
4320713,MASCULINO,MURILLO,LA PAZ,DON BOSCO,FISCAL,36,32,44,0,1,0,0,0,1,0,0,0.07542729151836416
4321286,FEMENINO,MURILLO,LA PAZ,LICEO LA PAZ,FISCAL,33,32,44,1,0,0,0,0,1,0,0,-0.3355618170199984
4321585,MASCULINO,MURILLO,LA PAZ,ESCUELA INDUSTRIAL SUPERIOR PEDRO DOMINGO MURILLO,FISCAL,35,32,44,0,1,0,0,0,1,0,0,-0.06156907799442335
4322570,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,34,32,44,0,1,0,0,0,1,0,0,-0.19856544750721086
4323375,FEMENINO,MURILLO,LA PAZ,SAGRADOS CORAZONES,CONVENIO,35,32,44,1,0,0,0,1,0,0,0,-0.06156907799442335
4329176,MASCULINO,MURILLO,LA PAZ,LA SALLE,CONVENIO,37,32,44,0,1,0,0,1,0,0,0,0.21242366103115168
4329550,MASCULINO,MURILLO,LA PAZ,SANTA ANA,PRIVADA,38,32,44,0,1,0,0,0,0,0,1,0.3494200305439392
4331401,FEMENINO,MURILLO,LA PAZ,LICEO LA PAZ,FISCAL,33,32,44,1,0,0,0,0,1,0,0,-0.3355618170199984
4333012,MASCULINO,MURILLO,LA PAZ,SAGRADOS CORAZONES,PRIVADA,45,32,44,0,1,0,0,0,0,0,1,1.3083946171334517
4335667,MASCULINO,MURILLO,LA PAZ,AMERICAN SCHOOL,PRIVADA,50,32,44,0,1,0,0,0,0,0,1,1.9933764646973895
4336090,MASCULINO,MURILLO,LA PAZ,MARIEN GARTEN,CONVENIO,52,32,44,0,1,0,0,1,0,0,0,2.2673692037229642
4336929,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,33,32,44,0,1,0,0,0,0,0,1,-0.3355618170199984
4337347,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52,32,44,1,0,0,0,0,1,0,0,2.2673692037229642
4337546,MASCULINO,MURILLO,LA PAZ,E. LINDEMANN,FISCAL,16,32,44,0,1,0,0,0,1,0,0,-2.664500098737386
4338827,MASCULINO,MURILLO,LA PAZ,"""LUIS ERNST""",CONVENIO,32,32,44,0,1,0,0,1,0,0,0,-0.4725581865327859
4339547,FEMENINO,MURILLO,LA PAZ,JESUS OBRERO,FISCAL,33,32,44,1,0,0,0,0,1,0,0,-0.3355618170199984
4339746,MASCULINO,MURILLO,LA PAZ,C. GUATEMALA,CEMA,50,32,44,0,1,0,1,0,0,0,0,1.9933764646973895
4360351,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52,32,44,1,0,0,0,0,1,0,0,2.2673692037229642
4361475,FEMENINO,MURILLO,EL ALTO,UNIDAD EDUCATIVA ANDRES BELLO,FISCAL,33,32,32,1,0,0,0,0,1,0,0,-0.3355618170199984
4367684,MASCULINO,MURILLO,LA PAZ,SAN JOSE FE Y ALEGRIA,FISCAL,34,32,44,0,1,0,0,0,1,0,0,-0.19856544750721086
4367694,FEMENINO,MURILLO,LA PAZ,PUERTO DE MEJILLONES,FISCAL,50,32,44,1,0,0,0,0,1,0,0,1.9933764646973895
4371489,MASCULINO,MURILLO,EL ALTO,NAZARENO BASIL MILLER,PRIVADA,45,32,32,0,1,0,0,0,0,0,1,1.3083946171334517
4378498,FEMENINO,MURILLO,LA PAZ,U.E. BETANIA HIGH SCHOOL,PRIVADA,31,32,44,1,0,0,0,0,0,0,1,-0.6095545560455734
4378640,MASCULINO,MURILLO,LA PAZ,SAN FRANCISCO DE LA T.O.F,PRIVADA,48,32,44,0,1,0,0,0,0,0,1,1.7193837256718143
4378774,FEMENINO,LOAYZA,CALA CALA,ANDRES BELLO,FISCAL,49,27,9,1,0,0,0,0,1,0,0,1.856380095184602
4539702,FEMENINO,OTRO,CERCADO,SAN AGUSTIN,PRIVADA,35,38,16,1,0,0,0,0,0,0,1,-0.06156907799442335
4719470,FEMENINO,TOMAS FRIAS,POTOSI,DR.MARTIN CARDENAS,PRIVADA,33,48,54,1,0,0,0,0,0,0,1,-0.3355618170199984
4740222,FEMENINO,MURILLO,LA PAZ,SAN ANTONIO DE PADUA,PRIVADA,32,32,44,1,0,0,0,0,0,0,1,-0.4725581865327859
4740586,MASCULINO,MURILLO,LA PAZ,SAN IGNACIO,PRIVADA,32,32,44,0,1,0,0,0,0,0,1,-0.4725581865327859
4741061,FEMENINO,MURILLO,LA PAZ,FRAY BERNARDINO DE CARDENAS,PRIVADA,34,32,44,1,0,0,0,0,0,0,1,-0.19856544750721086
4744029,FEMENINO,MURILLO,LA PAZ,FRANCO BOLIVIANO,CONVENIO,33,32,44,1,0,0,0,1,0,0,0,-0.3355618170199984
4744379,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16,32,44,0,1,0,0,0,1,0,0,-2.664500098737386
4744597,MASCULINO,MURILLO,EL ALTO,UNIDAD EDUCATIVA VILLA ALEMANIA,CONVENIO,34,32,32,0,1,0,0,1,0,0,0,-0.19856544750721086
4744773,MASCULINO,MURILLO,LA PAZ,SANTA BARBARA,PRIVADA,32,32,44,0,1,0,0,0,0,0,1,-0.4725581865327859
4745825,MASCULINO,MURILLO,LA PAZ,SIMON RODRIGUEZ CARRENO,FISCAL,36,32,44,0,1,0,0,0,1,0,0,0.07542729151836416
4746016,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,35,32,44,0,1,0,0,0,1,0,0,-0.06156907799442335
4746617,MASCULINO,MURILLO,LA PAZ,GERMAN BUSCH,FISCAL,33,32,44,0,1,0,0,0,1,0,0,-0.3355618170199984
4747703,MASCULINO,MURILLO,LA PAZ,FRANSISCO DE MIRANDA,FISCAL,44,32,44,0,1,0,0,0,1,0,0,1.1713982476206644
4747878,MASCULINO,MURILLO,LA PAZ,LA SALLE TURNO TARDE,FISCAL,52,32,44,0,1,0,0,0,1,0,0,2.2673692037229642
4748570,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52,32,44,1,0,0,0,0,1,0,0,2.2673692037229642
4749115,MASCULINO,QUILLACOLLO,COCHABAMBA,NAL. NOCT. GERMAN BUSCH,FISCAL,46,42,23,0,1,0,0,0,1,0,0,1.4453909866462393
4749437,MASCULINO,MURILLO,LA PAZ,LOS PINOS,PRIVADA,32,32,44,0,1,0,0,0,0,0,1,-0.4725581865327859
4750096,MASCULINO,MURILLO,LA PAZ,FELIPE SEGUNDO GUZMAN,FISCAL,35,32,44,0,1,0,0,0,1,0,0,-0.06156907799442335
4750866,MASCULINO,MURILLO,LA PAZ,MARTIN CARDENAS HERMOSA,FISCAL,32,32,44,0,1,0,0,0,1,0,0,-0.4725581865327859
4751088,FEMENINO,MURILLO,LA PAZ,LICEO LA PAZ,FISCAL,33,32,44,1,0,0,0,0,1,0,0,-0.3355618170199984
4751139,MASCULINO,MURILLO,EL ALTO,SAN JOSE FE Y ALEGRIA,FISCAL,34,32,32,0,1,0,0,0,1,0,0,-0.19856544750721086
4751166,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16,32,44,0,1,0,0,0,1,0,0,-2.664500098737386
4751598,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52,32,44,0,1,0,0,0,1,0,0,2.2673692037229642
4751831,MASCULINO,MURILLO,LA PAZ,"GERMAN BUSCH ""B""",FISCAL,33,32,44,0,1,0,0,0,1,0,0,-0.3355618170199984
4751856,MASCULINO,MURILLO,LA PAZ,LOS PINOS,PRIVADA,34,32,44,0,1,0,0,0,0,0,1,-0.19856544750721086
4752569,FEMENINO,MURILLO,LA PAZ,U.E. MANUEL VICENTE BALLIVIAN,FISCAL,16,32,44,1,0,0,0,0,1,0,0,-2.664500098737386
4752997,FEMENINO,MURILLO,LA PAZ,HUGHES SCHOOLS,PRIVADA,32,32,44,1,0,0,0,0,0,0,1,-0.4725581865327859
4754292,MASCULINO,MURILLO,EL ALTO,ADRIAN CASTILLO NAVA,FISCAL,34,32,32,0,1,0,0,0,1,0,0,-0.19856544750721086
4754965,MASCULINO,MURILLO,LA PAZ,MARISCAL JOSE BALLIVIAN,FISCAL,45,32,44,0,1,0,0,0,1,0,0,1.3083946171334517
4755839,FEMENINO,MURILLO,LA PAZ,INSTITUTO EDUCATIVO,FISCAL,36,32,44,1,0,0,0,0,1,0,0,0.07542729151836416
4755879,MASCULINO,MURILLO,LA PAZ,T.M.F. 18 DE MAYO,FISCAL,44,32,44,0,1,0,0,0,1,0,0,1.1713982476206644
4756380,MASCULINO,MURILLO,LA PAZ,SAN JOSE,PRIVADA,31,32,44,0,1,0,0,0,0,0,1,-0.6095545560455734
