dip,Género,Provincia,Ciudad,Colegio,Administración del Colegio,Edad
3460531,FEMENINO,MURILLO,LA PAZ,LICEO LA PAZ,FISCAL,47
3460619,MASCULINO,MURILLO,LA PAZ,SAN ANTONIO DE PADUA,PRIVADA,42
3461821,MASCULINO,MURILLO,LA PAZ,ELISA DE BALLIVIAN,FISCAL,36
3469999,MASCULINO,MURILLO,LA PAZ,CEFI,PRIVADA,36
3470328,MASCULINO,MURILLO,LA PAZ,COLEGIO PARTICULAR PUERTO DE MEJILLONES,PRIVADA,40
3478886,MASCULINO,MURILLO,LA PAZ,COLEGIO INTERNACIONAL DEL SUR,PRIVADA,44
3487187,MASCULINO,MURILLO,LA PAZ,COLORADOS DE BOLIVIA,FISCAL,52
3487672,MASCULINO,MURILLO,LA PAZ,PANTALEON DALENCE,PRIVADA,44
3489994,MASCULINO,MURILLO,LA PAZ,INSTITUTO DOMINGO SAVIO,PRIVADA,35
3491929,MASCULINO,MURILLO,LA PAZ,SAN SIMON DE AYACUCHO,FISCAL,47
3492883,FEMENINO,FRANZ TAMAYO,APOLO,INSTITUTO BANCARIO,PRIVADA,45
3551980,MASCULINO,OTRO,ORURO,INSTITUTO AMERICANO,CONVENIO,31
3979104,MASCULINO,TOMAS FRIAS,POTOSI,DESCONOCIDO,PRIVADA,35
3999799,MASCULINO,SUD CHICHAS,TUPIZA,COLEGIO ACIONAL MIXTO SUIPACHA,FISCAL,35
4013771,MASCULINO,SUD CHICAS,TUPIZA,NACIONAL MIXTO SUIPACHA,FISCAL,46
4032727,FEMENINO,OTRO,ORURO,JUANA AZURDUY DE PADILLA,FISCAL,43
4033708,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4034015,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,29
4037341,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,34
4041686,MASCULINO,QUIJARRO,KILPANI,MONS SEAAOR RICARDO BENI MORO,FISCAL,44
4047787,MASCULINO,AROMA,LA PAZ,REEKIE,PRIVADA,31
4049388,FEMENINO,PANTALEON DALENCE,ORURO,MIXTO BOLIVIA,FISCAL,32
4055780,FEMENINO,OTRO,ORURO,AVE MARIA,PRIVADA,33
4063287,FEMENINO,OTRO,ORURO,VIRGEN DE COPACABANA,PRIVADA,28
4070295,MASCULINO,SAJAMA,CANTON COSAPA,"PEDRO DOMINGO MURILLO ""A""",FISCAL,34
4110555,FEMENINO,OROPEZA,CHUQUISACA,LA SALLE,PRIVADA,32
4114928,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,30
4148950,MASCULINO,OTRO,TARIJA,SAN GERONIMO,CEMA,36
4186949,MASCULINO,MURILLO,LA PAZ,ROBERTO FRANSEN,PRIVADA,29
4197244,MASCULINO,OTRO,OTRO,CIRO M. APARICIO,FISCAL,37
4201314,MASCULINO,MURILLO,EL ALTO,COL. NAL. MIXTO PUERTO DE MEJILLONES,FISCAL,40
4219575,MASCULINO,MURILLO,LA PAZ,DEL SUR,PRIVADA,32
4243837,MASCULINO,TOMAS FRIAS,POTOSI,BOLIVIAN CATHOLIC,PRIVADA,52
4246438,MASCULINO,MURILLO,EL ALTO,TEC. HUM. MARISCAL JOSE BALLIVIAN,FISCAL,52
4249491,MASCULINO,MURILLO,LA PAZ,PUERTO DE MEJILLONES,FISCAL,39
4252655,MASCULINO,LOS ANDES,LA PAZ,DESCONOCIDO,FISCAL,52
4255313,MASCULINO,MURILLO,EL ALTO,ROTARY CHUQUIAGO MARKA,FISCAL,33
4256326,MASCULINO,PACAJES,LA PAZ,CENTRO INTEGRALL SUPERIOR BOLIVINO ALEMAN,PRIVADA,27
4262374,MASCULINO,MURILLO,LA PAZ,FELIPE SEGUNDO GUZMAN,FISCAL,36
4262698,MASCULINO,MURILLO,LA PAZ,LORETTO,PRIVADA,37
4266808,MASCULINO,MURILLO,LA PAZ,UNIDAD EDUCATIVA REPUBLICA DE FRANCIA,FISCAL,39
4269638,MASCULINO,MURILLO,LA PAZ,DON BOSCO,PRIVADA,35
4272663,MASCULINO,MURILLO,LA PAZ,DOMINGO FAUSTINO SARMIENTO,FISCAL,37
4273105,MASCULINO,MURILLO,LA PAZ,AMOR DE DIOS,PRIVADA,44
4276965,FEMENINO,MURILLO,LA PAZ,JOSE LUIS SUAREZ GUZMAN,FISCAL,40
4278095,MASCULINO,MURILLO,LA PAZ,VIDA NUEVA,CONVENIO,36
4278207,MASCULINO,MURILLO,LA PAZ,BOLIVIANO NORUEGO,PRIVADA,41
4278646,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,36
4279717,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,36
4279981,FEMENINO,MURILLO,LA PAZ,IRENE NAVA DE CASTILLO,FISCAL,52
4280693,MASCULINO,MURILLO,LA PAZ,INSTITUTO MADERO,PRIVADA,39
4282152,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4287572,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,35
4288844,MASCULINO,ANDRES IBAAAEZ,SANTA CRUZ,COL- EVANGALICO ISAAC,PRIVADA,36
4294109,MASCULINO,MURILLO,LA PAZ,FELIPE SEGUNDO GUZMAN,FISCAL,50
4295732,FEMENINO,MURILLO,LA PAZ,CRISTO REY,PRIVADA,34
4296033,MASCULINO,MURILLO,LA PAZ,HERNANDO SILES REYES,FISCAL,48
4297477,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,34
4297750,MASCULINO,GERMAN BUSCH,PUERTO SUAREZ,DESCONOCIDO,FISCAL,36
4299485,FEMENINO,MURILLO,LA PAZ,BOLIVIANO JAPONES,PRIVADA,34
4300360,MASCULINO,MURILLO,LA PAZ,SAN JOSE,PRIVADA,34
4303043,MASCULINO,MURILLO,LA PAZ,CENTRO PEDAGOGICO AMAUTA,PRIVADA,36
4303372,NO RESPONDE,MURILLO,LA PAZ,GERMAN BUSCH,FISCAL,16
4304410,MASCULINO,MURILLO,LA PAZ,SAN ANDRES,CONVENIO,37
4304918,MASCULINO,MURILLO,LA PAZ,DON BOSCO,PRIVADA,38
4309342,MASCULINO,MURILLO,LA PAZ,CEA FELIX EGUINO ZEBALLOS,FISCAL,35
4309394,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,37
4310222,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4310464,MASCULINO,MURILLO,LA PAZ,SIMON RODRIGUEZ CARREAAO,FISCAL,36
4310478,MASCULINO,MURILLO,LA PAZ,NOJUAN CRISOFTOMO LA LINUR,FISCAL,34
4310632,NO RESPONDE,MURILLO,LA PAZ,COLEGIO MAYOR DE SAN GENARO,PRIVADA,34
4311398,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,34
4311411,MASCULINO,MURILLO,LA PAZ,COLEGIO CRISTIANO,CONVENIO,35
4311580,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4312650,MASCULINO,MURILLO,LA PAZ,BOLIVIA CUATRO,FISCAL,34
4313090,MASCULINO,MURILLO,LA PAZ,C.E.A. SAGRADOS CORAZONES,CEMA,48
4313329,NO RESPONDE,OTRO,OTRO,AVE MARIA,PRIVADA,36
4314234,MASCULINO,MURILLO,LA PAZ,BOLIVIANO HONADES,PRIVADA,34
4314235,FEMENINO,MURILLO,LA PAZ,MARIA IMACULADA,CONVENIO,33
4317086,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,42
4317187,MASCULINO,MURILLO,LA PAZ,AMERINST,PRIVADA,33
4317589,MASCULINO,MURILLO,LA PAZ,COL. NAL. MIXTO ANDRES BELLO,FISCAL,35
4317709,FEMENINO,OMASUYOS,LA PAZ,SAN JOSE FE Y ALEGRIA,FISCAL,52
4319238,MASCULINO,MURILLO,EL ALTO,COLEGIO ADVENTISTA FRANZ TAMAYO,PRIVADA,34
4320713,MASCULINO,MURILLO,LA PAZ,DON BOSCO,FISCAL,36
4321286,FEMENINO,MURILLO,LA PAZ,LICEO LA PAZ,FISCAL,33
4321585,MASCULINO,MURILLO,LA PAZ,ESCUELA INDUSTRIAL SUPERIOR PEDRO DOMINGO MURILLO,FISCAL,35
4322570,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,34
4323375,FEMENINO,MURILLO,LA PAZ,SAGRADOS CORAZONES,CONVENIO,35
4329176,MASCULINO,MURILLO,LA PAZ,LA SALLE,CONVENIO,37
4329550,MASCULINO,MURILLO,LA PAZ,SANTA ANA,PRIVADA,38
4331401,FEMENINO,MURILLO,LA PAZ,LICEO LA PAZ,FISCAL,33
4333012,MASCULINO,MURILLO,LA PAZ,SAGRADOS CORAZONES,PRIVADA,45
4335667,MASCULINO,MURILLO,LA PAZ,AMERICAN SCHOOL,PRIVADA,50
4336090,MASCULINO,MURILLO,LA PAZ,MARIEN GARTEN,CONVENIO,52
4336929,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,33
4337347,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4337546,MASCULINO,MURILLO,LA PAZ,E. LINDEMANN,FISCAL,16
4338827,MASCULINO,MURILLO,LA PAZ,"""LUIS ERNST""",CONVENIO,32
4339547,FEMENINO,MURILLO,LA PAZ,JESUS OBRERO,FISCAL,33
4339746,MASCULINO,MURILLO,LA PAZ,C. GUATEMALA,CEMA,50
4360351,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4361475,FEMENINO,MURILLO,EL ALTO,UNIDAD EDUCATIVA ANDRES BELLO,FISCAL,33
4367684,MASCULINO,MURILLO,LA PAZ,SAN JOSE FE Y ALEGRIA,FISCAL,34
4367694,FEMENINO,MURILLO,LA PAZ,PUERTO DE MEJILLONES,FISCAL,50
4371489,MASCULINO,MURILLO,EL ALTO,NAZARENO BASIL MILLER,PRIVADA,45
4378498,FEMENINO,MURILLO,LA PAZ,U.E. BETANIA HIGH SCHOOL,PRIVADA,31
4378640,MASCULINO,MURILLO,LA PAZ,SAN FRANCISCO DE LA T.O.F,PRIVADA,48
4378774,FEMENINO,LOAYZA,CALA CALA,ANDRES BELLO,FISCAL,49
4539702,FEMENINO,OTRO,CERCADO,SAN AGUSTIN,PRIVADA,35
4719470,FEMENINO,TOMAS FRIAS,POTOSI,DR.MARTIN CARDENAS,PRIVADA,33
4740222,FEMENINO,MURILLO,LA PAZ,SAN ANTONIO DE PADUA,PRIVADA,32
4740586,MASCULINO,MURILLO,LA PAZ,SAN IGNACIO,PRIVADA,32
4741061,FEMENINO,MURILLO,LA PAZ,FRAY BERNARDINO DE CARDENAS,PRIVADA,34
4744029,FEMENINO,MURILLO,LA PAZ,FRANCO BOLIVIANO,CONVENIO,33
4744379,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4744597,MASCULINO,MURILLO,EL ALTO,UNIDAD EDUCATIVA VILLA ALEMANIA,CONVENIO,34
4744773,MASCULINO,MURILLO,LA PAZ,SANTA BARBARA,PRIVADA,32
4745825,MASCULINO,MURILLO,LA PAZ,SIMON RODRIGUEZ CARRENO,FISCAL,36
4746016,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,35
4746617,MASCULINO,MURILLO,LA PAZ,GERMAN BUSCH,FISCAL,33
4747703,MASCULINO,MURILLO,LA PAZ,FRANSISCO DE MIRANDA,FISCAL,44
4747878,MASCULINO,MURILLO,LA PAZ,LA SALLE TURNO TARDE,FISCAL,52
4748570,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4749115,MASCULINO,QUILLACOLLO,COCHABAMBA,NAL. NOCT. GERMAN BUSCH,FISCAL,46
4749437,MASCULINO,MURILLO,LA PAZ,LOS PINOS,PRIVADA,32
4750096,MASCULINO,MURILLO,LA PAZ,FELIPE SEGUNDO GUZMAN,FISCAL,35
4750866,MASCULINO,MURILLO,LA PAZ,MARTIN CARDENAS HERMOSA,FISCAL,32
4751088,FEMENINO,MURILLO,LA PAZ,LICEO LA PAZ,FISCAL,33
4751139,MASCULINO,MURILLO,EL ALTO,SAN JOSE FE Y ALEGRIA,FISCAL,34
4751166,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4751598,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4751831,MASCULINO,MURILLO,LA PAZ,"GERMAN BUSCH ""B""",FISCAL,33
4751856,MASCULINO,MURILLO,LA PAZ,LOS PINOS,PRIVADA,34
4752569,FEMENINO,MURILLO,LA PAZ,U.E. MANUEL VICENTE BALLIVIAN,FISCAL,16
4752997,FEMENINO,MURILLO,LA PAZ,HUGHES SCHOOLS,PRIVADA,32
4754292,MASCULINO,MURILLO,EL ALTO,ADRIAN CASTILLO NAVA,FISCAL,34
4754965,MASCULINO,MURILLO,LA PAZ,MARISCAL JOSE BALLIVIAN,FISCAL,45
4755839,FEMENINO,MURILLO,LA PAZ,INSTITUTO EDUCATIVO,FISCAL,36
4755879,MASCULINO,MURILLO,LA PAZ,T.M.F. 18 DE MAYO,FISCAL,44
4756380,MASCULINO,MURILLO,LA PAZ,SAN JOSE,PRIVADA,31
4757164,FEMENINO,MURILLO,LA PAZ,SAN IGNACIO,PRIVADA,32
4757193,MASCULINO,MURILLO,EL ALTO,MERCEDES BELZU DE DORADO,FISCAL,33
4757508,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,36
4757784,MASCULINO,MURILLO,LA PAZ,SAINT PETER,PRIVADA,40
4758972,MASCULINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,34
4759461,MASCULINO,MURILLO,LA PAZ,JESUS OBRERO,CONVENIO,33
4760793,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,32
4761105,MASCULINO,MURILLO,LA PAZ,VIDA Y VERDAD,PRIVADA,33
4762004,MASCULINO,MURILLO,LA PAZ,ALFREDO VARGAS,FISCAL,34
4762494,MASCULINO,MURILLO,LA PAZ,SERGIO ALMARAZ,FISCAL,38
4762576,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4762705,FEMENINO,MURILLO,LA PAZ,SANTA MARIA MAZZARELLO,PRIVADA,31
4762763,MASCULINO,MURILLO,LA PAZ,FRAY BERNARDINO DE CARDENAS,PRIVADA,31
4763971,FEMENINO,MURILLO,LA PAZ,HUGO DAVILA,FISCAL,33
4766488,FEMENINO,PACAJES,LA PAZ,FRANZ TAMAYO,PRIVADA,33
4766489,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,35
4768002,MASCULINO,MURILLO,LA PAZ,COLEGIO EXP. HUGO DAVILA T.M.,FISCAL,36
4768986,MASCULINO,MURILLO,LA PAZ,MONTESSORI,PRIVADA,30
4769849,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,PRIVADA,32
4770448,MASCULINO,MURILLO,LA PAZ,UNIDAD EDUCATIVA SAN ANDRES,CONVENIO,36
4770736,MASCULINO,MURILLO,LA PAZ,MAX VALDIVIA,CONVENIO,37
4771462,MASCULINO,MURILLO,LA PAZ,SAN JUDAS TADEO,PRIVADA,34
4772663,FEMENINO,MURILLO,LA PAZ,ENRIQUE LINDEMANN,FISCAL,32
4773289,MASCULINO,MURILLO,LA PAZ,MAX VALDIVIA,FISCAL,32
4773680,FEMENINO,MURILLO,LA PAZ,ALEMAN MARISCAL BRAUN,PRIVADA,34
4773884,FEMENINO,MURILLO,LA PAZ,LUIS ESPINAL CAMPS,FISCAL,32
4774206,MASCULINO,MURILLO,LA PAZ,SAN IGNACIO,PRIVADA,32
4774848,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4774953,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,48
4775497,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4775672,FEMENINO,MURILLO,LA PAZ,BOLIVIA IV,FISCAL,31
4776834,FEMENINO,MURILLO,LA PAZ,SANTA ANA,PRIVADA,48
4777328,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,34
4777375,FEMENINO,ANDRES IBANEZ,SANTA CRUZ,SAN FERNANDO,PRIVADA,42
4778384,FEMENINO,INGAVI,VIACHA,JOSE BALLIVIAN,FISCAL,42
4778830,FEMENINO,MURILLO,LA PAZ,SIMON BOLIVAR TARDE,FISCAL,33
4779374,MASCULINO,OTRO,COCHABAMBA,HUMBOLDT UNI LOYOLA,PRIVADA,39
4780078,MASCULINO,MURILLO,LA PAZ,CEA DANIEL SANCHEZ BUSTAMANTE,FISCAL,44
4781182,MASCULINO,MURILLO,LA PAZ,NUESTRA SENORA DE LAPAZ,CEMA,31
4781450,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO OBRAJES,PRIVADA,31
4781668,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4781911,MASCULINO,MURILLO,EL ALTO,U.E ANTOFAGASTA NORUEGUO,FISCAL,33
4782843,MASCULINO,MURILLO,LA PAZ,SAGRADOS CORAZONES B,FISCAL,16
4783541,FEMENINO,MURILLO,LA PAZ,ANDRES PETRICEVIC,FISCAL,49
4784671,MASCULINO,MURILLO,LA PAZ,DAMIAN DE VEUSTER (SAGRADOS CORAZONES),FISCAL,48
4784757,MASCULINO,MURILLO,LA PAZ,INGAVI,FISCAL,34
4784969,MASCULINO,MURILLO,EL ALTO,SAN JOSE FE Y ALEGRIA,FISCAL,35
4784995,MASCULINO,LOAYZA,EL ALTO,UNIDAD EDUCATIVA BRASILIA,FISCAL,33
4785021,MASCULINO,MURILLO,LA PAZ,SANTO TOMAS DE FE Y ALEGRIA,FISCAL,41
4785100,MASCULINO,MURILLO,LA PAZ,ANTONIO DIAZ VILLAMIL,FISCAL,46
4785215,FEMENINO,MURILLO,LA PAZ,NUESTRA SRA. DE FATIMA,PRIVADA,32
4785521,FEMENINO,MURILLO,LA PAZ,RENE BARRIENTOS ORTUNO,FISCAL,39
4786811,MASCULINO,MURILLO,LA PAZ,DORA SCHMIDT,FISCAL,33
4788665,MASCULINO,MURILLO,LA PAZ,SAN FRANCISCO,PRIVADA,31
4789306,MASCULINO,MURILLO,LA PAZ,DON BOSCO,PRIVADA,30
4790286,MASCULINO,MURILLO,LA PAZ,ADVENTISTA FRANZ TAMAYO,PRIVADA,34
4790372,MASCULINO,MURILLO,LA PAZ,ELIZARDO PEREZ,FISCAL,33
4790532,MASCULINO,MURILLO,LA PAZ,PUERTO DE MEJILLONES,FISCAL,34
4790565,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,39
4790602,MASCULINO,MURILLO,LA PAZ,ROUMA HIGH SCHOOL,PRIVADA,31
4790839,FEMENINO,MURILLO,LA PAZ,HUGHES SCHOOLS,PRIVADA,31
4792628,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,30
4792700,MASCULINO,MURILLO,LA PAZ,DON BOSCO,FISCAL,47
4793406,MASCULINO,MURILLO,EL ALTO,HOLANDES,PRIVADA,34
4793418,MASCULINO,MURILLO,LA PAZ,GERMAN BUSCH B,FISCAL,31
4794020,MASCULINO,MURILLO,LA PAZ,SAINT PETERA S,PRIVADA,47
4794122,FEMENINO,MURILLO,LA PAZ,MARIA IMACULADA,CONVENIO,31
4794423,FEMENINO,MURILLO,LA PAZ,SAGRADO CORAZON,FISCAL,47
4795871,MASCULINO,NOR YUNGAS,CORIPATA,AVE MARIA,PRIVADA,47
4797235,FEMENINO,MURILLO,LA PAZ,LICEO NO 10 RICARDO ROJAS,FISCAL,37
4798699,MASCULINO,MURILLO,LA PAZ,LICEO VENEZUELA,FISCAL,44
4798887,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,35
4801332,FEMENINO,MURILLO,LA PAZ,JESUS OBRERO,FISCAL,41
4802116,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,32
4802711,MASCULINO,MURILLO,LA PAZ,ELISA DE BALLIVIAN,FISCAL,41
4802806,MASCULINO,MURILLO,LA PAZ,HUMBOLDT UNI LOYOLA,PRIVADA,30
4803354,MASCULINO,MURILLO,LA PAZ,SAN FRANCISCO,PRIVADA,34
4804486,FEMENINO,MURILLO,EL ALTO,CALAMA,FISCAL,33
4804612,FEMENINO,MURILLO,LA PAZ,"TECNOCO HUMANISTICO ""WALTER ALPIRE DURAN""",FISCAL,31
4804681,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,43
4804853,FEMENINO,MURILLO,LA PAZ,ROSA GATTORNO,PRIVADA,30
4804854,MASCULINO,MURILLO,LA PAZ,AMOR DE DIOS,PRIVADA,16
4805630,FEMENINO,MURILLO,LA PAZ,SAN FRANCISCO,PRIVADA,33
4805772,FEMENINO,MURILLO,LA PAZ,"LICEO LA PAZ ""A""",FISCAL,33
4805938,FEMENINO,MURILLO,LA PAZ,BON BOSCO EL PRADO,CONVENIO,30
4806509,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,33
4806916,MASCULINO,MURILLO,LA PAZ,SAN JOSE DE FAAAA Y ALEGRIA,FISCAL,47
4807492,FEMENINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4807712,FEMENINO,MURILLO,LA PAZ,UNIDAD EDUCATIVA MARIA AUXILIADORA,PRIVADA,33
4807726,MASCULINO,MURILLO,LA PAZ,DON BOSCO,PRIVADA,34
4807756,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4807934,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,41
4808718,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4809214,FEMENINO,MURILLO,LA PAZ,AMERICAN SCHOOL,PRIVADA,30
4809572,MASCULINO,MURILLO,LA PAZ,LORETTO,PRIVADA,30
4809819,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
4811629,FEMENINO,MURILLO,LA PAZ,SANTA MARIA DE LOS ANGELES,FISCAL,45
4812617,MASCULINO,MURILLO,LA PAZ,DON BOSCO,CONVENIO,35
4813133,MASCULINO,MURILLO,LA PAZ,VIDA NUEVA,CONVENIO,31
4813569,MASCULINO,MURILLO,LA PAZ,ALONSO DE MENDOZA,FISCAL,45
4813985,FEMENINO,MURILLO,LA PAZ,NAL. MIXTO FERROVIARIO,FISCAL,30
4814918,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,46
4815142,FEMENINO,MURILLO,LA PAZ,SAN PATRICIO,PRIVADA,37
4815665,MASCULINO,MURILLO,LA PAZ,LEONARDO DA VINCI,PRIVADA,30
4816186,MASCULINO,MURILLO,LA PAZ,U. E. 6 DE JUNIO,FISCAL,31
4817260,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,33
4817306,MASCULINO,MURILLO,LA PAZ,SAN ANTONIO,PRIVADA,43
4817828,MASCULINO,MURILLO,LA PAZ,NACIONAL SIMON BOLIVAR,FISCAL,47
4817866,NO RESPONDE,MURILLO,LA PAZ,KOLPING,PRIVADA,16
4818502,MASCULINO,MURILLO,LA PAZ,"UNIDAD EDUCATIVA ""SAN LUIS""",FISCAL,47
4819509,MASCULINO,MURILLO,LA PAZ,DON BOSOC EL PRADO,FISCAL,30
4819801,MASCULINO,MURILLO,LA PAZ,AVE MARIA,PRIVADA,34
4820657,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
4821580,MASCULINO,MURILLO,LA PAZ,ADVENTISTA MIRAFLORES,PRIVADA,43
4821591,MASCULINO,MURILLO,LA PAZ,DON BOSCO,PRIVADA,45
4822316,MASCULINO,MURILLO,LA PAZ,LUIS ALBERTO PABON,FISCAL,46
4822526,FEMENINO,MURILLO,LA PAZ,COLEGIO ALEMAN MARISCAL BRAUN,PRIVADA,33
4822856,FEMENINO,MURILLO,LA PAZ,ALTO DE LA ALIANZA,FISCAL,35
4822884,MASCULINO,MURILLO,LA PAZ,SAN ANTONIO DE PADUA,PRIVADA,30
